====================================================================================================
各 Block Size 下的方法一致率对比
====================================================================================================


### Block Size = 64
FP平均剪枝率: 99.0%

| 方法 | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------|-----------|----------|-----------|----------|
| INT2 | 98.47% | 97.04% | 0.03% | 0.01% |
| Sample-1 | 99.09% | 99.58% | 0.91% | 0.42% |
| Sample-4 | 99.30% | 99.66% | 0.70% | 0.34% |
| Centroid | 99.03% | 99.57% | 0.97% | 0.43% |
| 1-bit | 99.48% | 99.50% | 0.36% | 0.13% |
| MinMax | 1.87% | 0.46% | 0.00% | 0.00% |

### Block Size = 128
FP平均剪枝率: 98.8%

| 方法 | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------|-----------|----------|-----------|----------|
| INT2 | 97.57% | 96.13% | 0.03% | 0.01% |
| Sample-1 | 98.91% | 99.51% | 1.09% | 0.49% |
| Sample-4 | 99.14% | 99.60% | 0.86% | 0.40% |
| Centroid | 98.85% | 99.50% | 1.15% | 0.50% |
| 1-bit | 99.40% | 99.53% | 0.40% | 0.15% |
| MinMax | 1.33% | 0.50% | 0.00% | 0.00% |

### Block Size = 256
FP平均剪枝率: 98.6%

| 方法 | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------|-----------|----------|-----------|----------|
| INT2 | 95.98% | 93.62% | 0.03% | 0.00% |
| Sample-1 | 98.64% | 99.24% | 1.36% | 0.76% |
| Sample-4 | 98.91% | 99.36% | 1.09% | 0.64% |
| Centroid | 98.57% | 99.22% | 1.43% | 0.78% |
| 1-bit | 99.24% | 99.36% | 0.45% | 0.22% |
| MinMax | 1.50% | 0.78% | 0.00% | 0.00% |

### Block Size = 512
FP平均剪枝率: 98.1%

| 方法 | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------|-----------|----------|-----------|----------|
| INT2 | 93.51% | 89.96% | 0.04% | 0.01% |
| Sample-1 | 98.19% | 98.72% | 1.81% | 1.28% |
| Sample-4 | 98.56% | 98.96% | 1.44% | 1.04% |
| Centroid | 98.13% | 98.71% | 1.87% | 1.29% |
| 1-bit | 98.97% | 99.01% | 0.59% | 0.35% |
| MinMax | 1.89% | 1.29% | 0.00% | 0.00% |


====================================================================================================
按方法分组的详细数据
====================================================================================================

### INT2
| Block Size | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------------|-----------|----------|-----------|----------|
| 64 | 98.47% | 97.04% | 0.03% | 0.01% |
| 128 | 97.57% | 96.13% | 0.03% | 0.01% |
| 256 | 95.98% | 93.62% | 0.03% | 0.00% |
| 512 | 93.51% | 89.96% | 0.04% | 0.01% |

### Sample-1
| Block Size | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------------|-----------|----------|-----------|----------|
| 64 | 99.09% | 99.58% | 0.91% | 0.42% |
| 128 | 98.91% | 99.51% | 1.09% | 0.49% |
| 256 | 98.64% | 99.24% | 1.36% | 0.76% |
| 512 | 98.19% | 98.72% | 1.81% | 1.28% |

### Sample-4
| Block Size | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------------|-----------|----------|-----------|----------|
| 64 | 99.30% | 99.66% | 0.70% | 0.34% |
| 128 | 99.14% | 99.60% | 0.86% | 0.40% |
| 256 | 98.91% | 99.36% | 1.09% | 0.64% |
| 512 | 98.56% | 98.96% | 1.44% | 1.04% |

### Centroid
| Block Size | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------------|-----------|----------|-----------|----------|
| 64 | 99.03% | 99.57% | 0.97% | 0.43% |
| 128 | 98.85% | 99.50% | 1.15% | 0.50% |
| 256 | 98.57% | 99.22% | 1.43% | 0.78% |
| 512 | 98.13% | 98.71% | 1.87% | 1.29% |

### 1-bit
| Block Size | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------------|-----------|----------|-----------|----------|
| 64 | 99.48% | 99.50% | 0.36% | 0.13% |
| 128 | 99.40% | 99.53% | 0.40% | 0.15% |
| 256 | 99.24% | 99.36% | 0.45% | 0.22% |
| 512 | 98.97% | 99.01% | 0.59% | 0.35% |

### MinMax
| Block Size | 平均一致率 | L14一致率 | 平均误剪率 | L14误剪率 |
|------------|-----------|----------|-----------|----------|
| 64 | 1.87% | 0.46% | 0.00% | 0.00% |
| 128 | 1.33% | 0.50% | 0.00% | 0.00% |
| 256 | 1.50% | 0.78% | 0.00% | 0.00% |
| 512 | 1.89% | 1.29% | 0.00% | 0.00% |
