================================================================================
各方法在不同层的一致率分析 (Block Size = 64)
================================================================================

FP平均剪枝率: 99.0%
FP Layer14剪枝率: 99.6%

方法                  平均一致率       L14一致率        平均误剪率       L14误剪率
------------------------------------------------------------
INT2               98.47%       97.04%        0.03%        0.01%
Sample-1           99.09%       99.58%        0.91%        0.42%
Sample-4           99.30%       99.66%        0.70%        0.34%
Centroid           99.03%       99.57%        0.97%        0.43%
1-bit              99.48%       99.50%        0.36%        0.13%
MinMax              1.87%        0.46%        0.00%        0.00%


各层详细数据:
--------------------------------------------------------------------------------
Layer           INT2    Sample-1    Sample-4    Centroid       1-bit      MinMax
--------------------------------------------------------------------------------
0              93.4%       81.9%       85.9%       80.4%       91.8%       20.4%
1             100.0%       99.9%      100.0%       99.9%      100.0%        3.4%
2              99.8%       99.9%      100.0%       99.9%       99.9%        2.1%
3              99.8%       99.9%      100.0%       99.9%      100.0%        1.4%
4              99.9%       99.9%      100.0%       99.9%      100.0%        0.8%
5              99.2%       99.9%       99.9%       99.9%       99.7%        3.4%
6              99.5%       99.9%       99.9%       99.9%       99.9%        1.3%
7              99.5%       99.9%      100.0%       99.9%       99.9%        0.6%
8              98.1%       99.5%       99.6%       99.4%       99.5%        4.9%
9              97.4%       99.7%       99.8%       99.6%       99.8%        0.4%
10             96.6%       99.5%       99.6%       99.5%       99.5%        0.5%
11             99.1%       99.9%       99.9%       99.8%       99.9%        2.8%
12             95.3%       98.1%       98.5%       97.9%       99.0%        2.2%
13             96.3%       99.2%       99.3%       99.1%       99.3%        1.1%
14             97.0%       99.6%       99.7%       99.6%       99.5%        0.5%
15             97.4%       99.5%       99.7%       99.5%       99.6%        0.5%
16             99.3%       99.9%       99.9%       99.9%       99.9%        0.2%
17             99.4%       99.9%       99.9%       99.9%       99.9%        0.7%
18             99.1%       99.8%       99.9%       99.8%       99.8%        0.2%
19             99.0%       99.9%      100.0%       99.9%       99.9%        0.4%
20             99.2%       99.9%      100.0%       99.9%       99.9%        0.2%
21             99.0%       99.9%      100.0%       99.9%       99.9%        0.5%
22             99.5%       99.9%      100.0%       99.9%       99.9%        1.3%
23             99.3%       99.9%      100.0%       99.9%       99.9%        0.4%
24             98.8%       99.9%       99.9%       99.9%       99.8%        0.6%
25             99.5%       99.9%       99.9%       99.9%       99.9%        1.0%
26             97.7%       99.6%       99.6%       99.6%       99.6%        0.5%
27             99.0%       99.8%       99.9%       99.8%       99.8%        0.4%
